data_id,data_name,model,Accuracy,Precision,Recall,F1-score,ROC-AUC score
10,data10_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,SmallWaveNetV3,0.7700201207243461,0.7679002413515688,0.7713131313131313,0.7696029026405966,0.8691315560413757
11,data11_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,SmallWaveNetV3,0.8603621730382294,0.7601328903654485,0.45432883240667193,0.5687298036291325,0.8625648836001663
12,data12_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,SmallWaveNetV3,0.6602564102564102,0.9210526315789473,0.4117647058823529,0.5691056910569106,0.7408450704225352
13,data13_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,SmallWaveNetV3,0.6375,0.76,0.4523809523809524,0.5671641791044776,0.6748120300751881
20,data20_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,SmallWaveNetV3,0.8150665533843104,0.8172443425952449,0.8102811701221244,0.8137478608100399,0.9053541842502095
21,data21_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,SmallWaveNetV3,0.8739131666147442,0.7621082621082621,0.5328685258964143,0.6271981242672919,0.9035846516292294
22,data22_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,SmallWaveNetV3,0.7245508982035929,0.7682926829268293,0.7,0.7325581395348837,0.7587301587301587
23,data23_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,SmallWaveNetV3,0.7272727272727273,0.825,0.66,0.7333333333333333,0.7973684210526316
30,data30_CJ_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,SmallWaveNetV3,0.6551724137931034,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.6715686274509803
31,data31_CJ_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,SmallWaveNetV3,0.9305555555555556,0.7777777777777778,0.7,0.7368421052631579,0.8677419354838709
