data_id,data_name,model,Accuracy,Precision,Recall,F1-score,ROC-AUC score
10,data10_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,XGBoost,0.7732394366197183,0.7661927330173776,0.7838383838383839,0.774915118833633,0.8718929576324366
11,data11_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,XGBoost,0.8599597585513078,0.747141041931385,0.4670373312152502,0.5747800586510264,0.8632695706287696
12,data12_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,XGBoost,0.7307692307692307,0.7529411764705882,0.7529411764705882,0.7529411764705882,0.8374482187241095
13,data13_IC1_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,XGBoost,0.8,0.7708333333333334,0.8809523809523809,0.8222222222222222,0.8471177944862156
20,data20_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,XGBoost,0.8149957519116398,0.8126500070591557,0.8173814257313263,0.8150088495575222,0.9088758689241081
21,data21_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,XGBoost,0.8739981307881843,0.7403541472506989,0.5651678998292544,0.6410070200919874,0.9046806480101306
22,data22_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_5000,XGBoost,0.7844311377245509,0.78125,0.8333333333333334,0.8064516129032258,0.8651515151515152
23,data23_IC2_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_max_2500,XGBoost,0.75,0.8043478260869565,0.74,0.7708333333333334,0.8210526315789474
30,data30_CJ_FM_label_wl_20_pw_0_unwo_dropped_1_1_ratio_full_data,XGBoost,0.7241379310344828,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7598039215686275
31,data31_CJ_FM_label_wl_20_pw_0_unwo_dropped_1_4_ratio_full_data,XGBoost,0.9444444444444444,0.8,0.8,0.8,0.9129032258064517
